
,"LISTA DE PRECIOS DELTRON"

,"Generada el :"2025-03-17 04:20:01
,"Almacen(es) :,'CHICLAYO'"
,"Almacen(es) :"
,"TIPO DE CAMBIO :3.660"
,"__________________________________"


"_______________","_______________","__________________________________","__________"
" ","CODIGO","ACC, MUEBLES DE COMPUTO","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"acc, muebles de computo","accte8127n","silla giratoria de oficina teros te-8127n, material nylon, base de plástica[@@@]traba",1,47.24, ,"","D","teros"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","ACCESORIOS","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"accesorios","acchp13l67aa","hp desktop mini dual vesa sleeve v3[@@@]",18,15.98, ,"","W","hp comercial"
"accesorios","accneckfanw","ventilador  de cuello blanco",2,669.33, ,"","D","deltron"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","ACCESORIOS USB","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"accesorios usb","acte70207w","cargador usb-a usb-c teros te-70207w, gan, pd 65w, blanco[@@@]potencia y eficiencia e",3,11.06, ,"","D","teros"
"accesorios usb","acte70208w","cable usb teros te-70208w, tipo c a tipo c, 5a, 100w máx, blanco[@@@]descubre el cabl",>20,2.51, ,"","D","teros"
"accesorios usb","acte70209w","cable usb teros te-70209w, tipo c a tipo c, 3a, 60w máx, blanco[@@@]conecta y carga t",>20,1.81, ,"","D","teros"
"accesorios usb","acte70210w","cable de carga 3 en 1 teros te-70210w, usb a tipoc/lightning/micro usb, 17.5w máx, gr",>20,3.02, ,"","D","teros"
"accesorios usb","acte70211w","cable usb teros te-70211w, tipo a a tipo c, 3a, 60w máx, gris[@@@]conecta y carga de ",>20,2.01, ,"","D","teros"
"accesorios usb","acte70212w","cable usb teros te-70212w, tipo c a lightning, 3a, 20w máx, blanco y plateado[@@@]con",>20,6.31, ,"","D","teros"
"accesorios usb","actlu324006dsk1","cable de extensión de escritorio de 1 puerto usb 3.0 superspeed (m/h), 1.83m[@@@]idea",2,7.94, ,"","W","tripp-lite"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","AUDIO, AURICULAR C/MIC","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"audio, auricular c/mic","accte8072n","audífonos teros te-8072n, bluetooth, tws, negro[@@@]los audífonos bluetooth teros te-",>20,8.94, ,"","D","teros"
"audio, auricular c/mic","accte8072w","audífonos teros te-8072w, bluetooth, tws, blanco[@@@]los audífonos bluetooth teros te",>20,8.94, ,"","D","teros"
"audio, auricular c/mic","accte8074gr","audífonos teros te-8074gr, bluetooth, tws, rosa/dorado[@@@]los audífonos bluetooth te",7,9.95, ,"","D","teros"
"audio, auricular c/mic","accte8074n","audífonos teros te-8074n, bluetooth, tws, negro[@@@]los audífonos bluetooth teros te-",8,9.95, ,"","D","teros"
"audio, auricular c/mic","accte8075n","audífonos teros te-8075n, bluetooth, tws, negro[@@@]los audífonos bluetooth teros te-",18,9.95, ,"","D","teros"
"audio, auricular c/mic","accte8075w","audífonos teros, te-8075w, bluetooth, tws, blanco[@@@]los audífonos bluetooth teros t",>20,9.95, ,"","D","teros"
"audio, auricular c/mic","mmachte8078r","audífono de conducción de aire teros te-8078r, bluetooth, rojo /gris[@@@]los audífono",>20,11.36, ,"","D","teros"
"audio, auricular c/mic","mmbchte8077n","audífonos de conducción ósea teros te-8077n, bluetooth, negro[@@@]los audífonos de co",7,11.96, ,"","D","teros"
"audio, auricular c/mic","mmhwte8033n","audífono inalámbrico anc teros te-8033n (headset), negro[@@@]los auriculares inalámbr",4,18.59, ,"","D","teros"
"audio, auricular c/mic","mmhwte8033wp","audífono inalámbrico anc teros te-8033wp (headset), blanco[@@@]los auriculares inalám",>20,18.59, ,"","D","teros"
"audio, auricular c/mic","mmhwte8035n","audífono inalámbrico teros te-8035n (headset), negro[@@@]los auriculares inalámbricos",>20,9.45, ,"","D","teros"
"audio, auricular c/mic","mmhwte8037n","audífono teros te-8037n (headset), negro[@@@]los auriculares alámbricos teros te-8037",>20,7.04, ,"","D","teros"
"audio, auricular c/mic","mmmclogstheh112","auriculares estereo (on-ear) con microfono logitech h390, interfaz usb-a, color negro",2,19.60, ,"","D","logitech"
"audio, auricular c/mic","mmtwshte80710n","audífonos teros te-80710n, bluetooth, tws, negro[@@@]los audífonos bluetooth tws (tru",7,11.46, ,"","D","teros"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","AUDIO, AURICULAR C/MIC GM","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"audio, auricular c/mic gm","hsrdh350rgbusb","hs red h350 rgb usb + 3.5mm",1,38.19, ,"","C","redragon"
"audio, auricular c/mic gm","mmhste8170n","auriculares gaming teros te-8170n estéreo 7.1, micrófono, conector usb, negro, luces ",11,19.90, ,"","D","teros"
"audio, auricular c/mic gm","mmhste8171n","auriculares gaming teros te-8171n, estéreo, micrófono, luces rgb[@@@]los auriculares ",>20,10.55, ,"","D","teros"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","AUDIO, PARLANTE INALAMB","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"audio, parlante inalamb","mmspte6032n","parlante teros te-6032n, bluetooth, 5 w, 400 mah,negro[@@@]el parlante inalámbrico te",15,5.53, ,"","D","teros"
"audio, parlante inalamb","mmspte6033n","parlante/audífono teros te-6033n, bluetooth, 5 w,1200 mah, negro[@@@]el dispositivo t",9,15.08, ,"","D","teros"
"audio, parlante inalamb","mmspte6042n","parlante teros te-6042n, bluetooth, 20 w (2 x 10 w), 3000 mah, negro[@@@]el parlante ",20,18.08, ,"","D","teros"
"audio, parlante inalamb","mmspte6044n","parlante teros te-6044n, bluetooth, 5 w, 1500 mah, negro[@@@]el parlante inalámbrico ",3,15.58, ,"","D","teros"
"audio, parlante inalamb","mmspte6045g","parlante teros te-6045g, color verde militar camuflado, 60 w[@@@]disfruta de un sonid",13,42.21, ,"","D","teros"
"audio, parlante inalamb","mmspte6045n","parlante teros te-6045n, color negro, 60 w[@@@]potencia tu música con el parlante blu",13,42.21, ,"","D","teros"
"audio, parlante inalamb","mmspte6046n","parlante teros te-6046n, color negro, 40 w[@@@]disfruta de un sonido potente con el p",8,26.13, ,"","D","teros"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","AUDIO, PARLANTE USB","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"audio, parlante usb","snbrdgs560usbbk","barra de sonido (soundbar 2.0) redragon gs560, retroiluminacion led rgb, interfaz usb",1,41.71, ,"","C","redragon"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CAMARA, WEBCAM","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"camara, webcam","mmte9072","webcam teros te-9072, 2k, micrófono incorporado, usb 2.0[@@@]trabaja con casi todas l",17,13.67, ,"","D","teros"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CASES MICRO ATX","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"cases micro atx","csm25bkte1034s","case teros te-1034s, mini tower atx, 250 w, usb 3.0 / 2.0, audio hd, negro[@@@]presen",>20,19.10, ,"","D","teros"
"cases micro atx","csm25bkte1035s","case teros te-1035s, mini tower atx, 250 w, usb 3.0 / 2.0, audio hd, negro[@@@]presen",3,19.10, ,"","D","teros"
"cases micro atx","css25bkte1039s","case teros te-1039s, slim, 250 w, usb 3.0 / usb 2.0, audio hd, dvd, negro[@@@]present",20,27.14, ,"","D","teros"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CASES SIN FUENTE P/GAMERS","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"cases sin fuente p/gamers","csa00bkte1312g","case gamer teros te-1312g, mid tower, usb 3.0 / usb 2.0, audio, ventilador argb, negr",>20,45.23, ,"","D","teros"
"cases sin fuente p/gamers","csa00whte1311g","case gamer teros te-1311g, mid tower, usb 3.0 / usb 2.0, audio, ventilador argb, blan",>20,46.23, ,"","D","teros"
"cases sin fuente p/gamers","csm00bkte1314g","case gamer teros te-1314g, mid tower, usb 3.0 / usb 2.0, audio, ventilador argb, negr",4,57.29, ,"","D","teros"
"cases sin fuente p/gamers","csm00whte1316g","case gamer teros te-1316g, mid tower, usb 3.0 / usb 2.0, audio, ventilador argb, blan",12,58.29, ,"","D","teros"
"cases sin fuente p/gamers","csmspano100rpzn","case msi mag mag pano 100r pz, mini-itx, micro-atx, atx, mid tower[@@@]puertos: 2 x u",2,101.40, ,"","F","msi"
"cases sin fuente p/gamers","csmspano100rpzw","case msi mag pano 100r pz white, mini-itx, micro-atx, atx, mid tower[@@@]puertos: 2 x",2,107.03, ,"","F","msi"
"cases sin fuente p/gamers","csmspano120rpz","case msi mag pano 120r pz[@@@]motherboard - factor de forma soportados: atx / micro-a",4,204.92, ,"","F","msi"
"cases sin fuente p/gamers","csmspanoa100lpw","case msi mag pano 100l pz white, mid tower[@@@]puertos: 2 x usb 3.2 gen 1 type-a / 1 ",3,86.33, ,"","F","msi"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CASES, ACCESORIOS","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"cases, accesorios","accte7051n","cable divisor argb teros te-7051n[@@@]el cable divisor argb teros te-7051n es una sol",7,0.60, ,"","D","teros"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CASES, FUENTE PARA","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
