CATEGORÍA,CÓDIGO,DESCRIPCIÓN,STOCK,PRECIO DÓLARES,GARANTÍA,MARCA,PROMOCIÓN,DETALLE PROMOCIÓN
accesorios,acchp13l67aa,hp desktop mini dual vesa sleeve v3[@@@],18,15.98,W,hp comercial,,
accesorios,accneckfanw,ventilador  de cuello blanco,2,669.33,D,deltron,,
accesorios usb,acte70207w,"cargador usb-a usb-c teros te-70207w, gan, pd 65w, blanco[@@@]potencia y eficiencia e",3,11.06,D,teros,,R6497: COMBO A TAN SOLO $12.2+IGV POR LA COMPRA DE ADAPTADOR DE CORRIENTE+ CABLE USB TEROS A-C 600W 3A; R6495: COMBO A TAN SOLO $11.9+IGV POR LA COMPRA DE ADAPTADOR DE CORRIENTE+ CABLE USB TEROS C-C 100W 5A
accesorios usb,acte70208w,"cable usb teros te-70208w, tipo c a tipo c, 5a, 100w máx, blanco[@@@]descubre el cabl",20,2.51,D,teros,,
accesorios usb,acte70209w,"cable usb teros te-70209w, tipo c a tipo c, 3a, 60w máx, blanco[@@@]conecta y carga t",20,1.81,D,teros,,
accesorios usb,acte70210w,"cable de carga 3 en 1 teros te-70210w, usb a tipoc/lightning/micro usb, 17.5w máx, gr",20,3.02,D,teros,,
accesorios usb,acte70211w,"cable usb teros te-70211w, tipo a a tipo c, 3a, 60w máx, gris[@@@]conecta y carga de ",20,2.01,D,teros,,
accesorios usb,acte70212w,"cable usb teros te-70212w, tipo c a lightning, 3a, 20w máx, blanco y plateado[@@@]con",20,6.31,D,teros,,
accesorios usb,actlu324006dsk1,"cable de extensión de escritorio de 1 puerto usb 3.0 superspeed (m/h), 1.83m[@@@]idea",2,7.94,W,tripp-lite,,
"audio, auricular c/mic",accte8072n,"audífonos teros te-8072n, bluetooth, tws, negro[@@@]los audífonos bluetooth teros te-",20,8.94,D,teros,$7.90,R6471: Detalle de #PROMOCIONR6471
"audio, auricular c/mic",accte8072w,"audífonos teros te-8072w, bluetooth, tws, blanco[@@@]los audífonos bluetooth teros te",20,8.94,D,teros,$7.90,R6469: Detalle de #PROMOCIONR6469
"audio, auricular c/mic",accte8074gr,"audífonos teros te-8074gr, bluetooth, tws, rosa/dorado[@@@]los audífonos bluetooth te",7,9.95,D,teros,$8.50,R6456: Detalle de #PROMOCIONR6456
"audio, auricular c/mic",accte8074n,"audífonos teros te-8074n, bluetooth, tws, negro[@@@]los audífonos bluetooth teros te-",8,9.95,D,teros,$8.20,R6457: Detalle de #PROMOCIONR6457
"audio, auricular c/mic",accte8075n,"audífonos teros te-8075n, bluetooth, tws, negro[@@@]los audífonos bluetooth teros te-",18,9.95,D,teros,,R6458: OFERTA!! POR LA COMPRA DE (2UNI) AUDIFONOS TEROS TE-8075N TWS
"audio, auricular c/mic",accte8075w,"audífonos teros, te-8075w, bluetooth, tws, blanco[@@@]los audífonos bluetooth teros t",20,9.95,D,teros,,R6460: OFERTA (3 UNI) POR LA COMPRA DE AUDIFONOS TEROS TE-8075W TWS
"audio, auricular c/mic",mmachte8078r,"audífono de conducción de aire teros te-8078r, bluetooth, rojo /gris[@@@]los audífono",20,11.36,D,teros,$10.50,R6483: Detalle de #PROMOCIONR6483
"audio, auricular c/mic",mmbchte8077n,"audífonos de conducción ósea teros te-8077n, bluetooth, negro[@@@]los audífonos de co",7,11.96,D,teros,$9.50,R6485: Detalle de #PROMOCIONR6485
"audio, auricular c/mic",mmhwte8033n,"audífono inalámbrico anc teros te-8033n (headset), negro[@@@]los auriculares inalámbr",4,18.59,D,teros,$16.90,R6487: Detalle de #PROMOCIONR6487
"audio, auricular c/mic",mmhwte8033wp,"audífono inalámbrico anc teros te-8033wp (headset), blanco[@@@]los auriculares inalám",20,18.59,D,teros,$16.90,R6488: Detalle de #PROMOCIONR6488
"audio, auricular c/mic",mmhwte8035n,"audífono inalámbrico teros te-8035n (headset), negro[@@@]los auriculares inalámbricos",20,9.45,D,teros,,
"audio, auricular c/mic",mmhwte8037n,"audífono teros te-8037n (headset), negro[@@@]los auriculares alámbricos teros te-8037",20,7.04,D,teros,,R6784: POR LA COMPRA DE 5UN DE HEADSET TE8037N A $6+ IGV CADA UNO
"audio, auricular c/mic",mmmclogstheh112,"auriculares estereo (on-ear) con microfono logitech h390, interfaz usb-a, color negro",2,19.6,D,logitech,,
"audio, auricular c/mic",mmtwshte80710n,"audífonos teros te-80710n, bluetooth, tws, negro[@@@]los audífonos bluetooth tws (tru",7,11.46,D,teros,$9.90,R6490: Detalle de #PROMOCIONR6490
"audio, auricular c/mic gm",hsrdh350rgbusb,hs red h350 rgb usb + 3.5mm,1,38.19,C,redragon,,
