
,"LISTA DE PRECIOS DELTRON"

,"Generada el :"2025-03-21 12:24:47
,"Almacen(es) :,'CUSCO'"
,"Almacen(es) :"
,"TIPO DE CAMBIO :3.650"
,"__________________________________"


"_______________","_______________","__________________________________","__________"
" ","CODIGO","ACC, MUEBLES DE COMPUTO","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"acc, muebles de computo","accte8127n","silla giratoria de oficina teros te-8127n, material nylon, base de plástica[@@@]traba",14,47.24, ,"","D","teros"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","ACCESORIOS USB","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"accesorios usb","acte70207w","cargador usb-a usb-c teros te-70207w, gan, pd 65w, blanco[@@@]potencia y eficiencia e",>20,11.06, ,"","D","teros"
"accesorios usb","acte70208w","cable usb teros te-70208w, tipo c a tipo c, 5a, 100w máx, blanco[@@@]descubre el cabl",7,2.51, ,"","D","teros"
"accesorios usb","acte70209w","cable usb teros te-70209w, tipo c a tipo c, 3a, 60w máx, blanco[@@@]conecta y carga t",9,1.81, ,"","D","teros"
"accesorios usb","acte70210w","cable de carga 3 en 1 teros te-70210w, usb a tipoc/lightning/micro usb, 17.5w máx, gr",20,3.02, ,"","D","teros"
"accesorios usb","acte70211w","cable usb teros te-70211w, tipo a a tipo c, 3a, 60w máx, gris[@@@]conecta y carga de ",12,2.01, ,"","D","teros"
"accesorios usb","acte70212w","cable usb teros te-70212w, tipo c a lightning, 3a, 20w máx, blanco y plateado[@@@]con",>20,6.31, ,"","D","teros"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","AUDIO, AURICULAR C/MIC","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"audio, auricular c/mic","accte8072n","audífonos teros te-8072n, bluetooth, tws, negro[@@@]los audífonos bluetooth teros te-",>20,8.94, ,"","D","teros"
"audio, auricular c/mic","accte8072w","audífonos teros te-8072w, bluetooth, tws, blanco[@@@]los audífonos bluetooth teros te",>20,8.94, ,"","D","teros"
"audio, auricular c/mic","accte8074gr","audífonos teros te-8074gr, bluetooth, tws, rosa/dorado[@@@]los audífonos bluetooth te",20,9.95, ,"","D","teros"
"audio, auricular c/mic","accte8074n","audífonos teros te-8074n, bluetooth, tws, negro[@@@]los audífonos bluetooth teros te-",4,9.95, ,"","D","teros"
"audio, auricular c/mic","mmachte8078r","audífono de conducción de aire teros te-8078r, bluetooth, rojo /gris[@@@]los audífono",>20,11.36, ,"","D","teros"
"audio, auricular c/mic","mmbchte8077n","audífonos de conducción ósea teros te-8077n, bluetooth, negro[@@@]los audífonos de co",>20,11.96, ,"","D","teros"
"audio, auricular c/mic","mmhwte8033n","audífono inalámbrico anc teros te-8033n (headset), negro[@@@]los auriculares inalámbr",>20,18.59, ,"","D","teros"
"audio, auricular c/mic","mmhwte8033wp","audífono inalámbrico anc teros te-8033wp (headset), blanco[@@@]los auriculares inalám",>20,18.59, ,"","D","teros"
"audio, auricular c/mic","mmhwte8035n","audífono inalámbrico teros te-8035n (headset), negro[@@@]los auriculares inalámbricos",>20,9.45, ,"","D","teros"
"audio, auricular c/mic","mmmclogstheh112","auriculares estereo (on-ear) con microfono logitech h390, interfaz usb-a, color negro",6,19.60, ,"","D","logitech"
"audio, auricular c/mic","mmsmr400nzwalta","auriculares inalambricos galaxy samsung buds fe, color mystic white (blanco)[@@@]como",2,75.38, ,"","Y","samsung"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","AUDIO, AURICULAR C/MIC GM","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"audio, auricular c/mic gm","mmhste8171n","auriculares gaming teros te-8171n, estéreo, micrófono, luces rgb[@@@]los auriculares ",1,10.55, ,"","D","teros"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","AUDIO, PARLANTE INALAMB","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"audio, parlante inalamb","mmspte6033n","parlante/audífono teros te-6033n, bluetooth, 5 w,1200 mah, negro[@@@]el dispositivo t",>20,15.08, ,"","D","teros"
"audio, parlante inalamb","mmspte6042n","parlante teros te-6042n, bluetooth, 20 w (2 x 10 w), 3000 mah, negro[@@@]el parlante ",4,18.08, ,"","D","teros"
"audio, parlante inalamb","mmspte6044n","parlante teros te-6044n, bluetooth, 5 w, 1500 mah, negro[@@@]el parlante inalámbrico ",>20,15.58, ,"","D","teros"
"audio, parlante inalamb","mmspte6045n","parlante teros te-6045n, color negro, 60 w[@@@]potencia tu música con el parlante blu",17,42.21, ,"","D","teros"
"audio, parlante inalamb","mmspte6046g","parlante teros te-6046g, color verde militar camuflado, 40 w[@@@]disfruta de la mejor",6,26.13, ,"","D","teros"
"audio, parlante inalamb","mmspte6046n","parlante teros te-6046n, color negro, 40 w[@@@]disfruta de un sonido potente con el p",>20,26.13, ,"","D","teros"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CAMARA, WEBCAM","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"camara, webcam","mmte9072","webcam teros te-9072, 2k, micrófono incorporado, usb 2.0[@@@]trabaja con casi todas l", ,13.67, ,"","D","teros"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CASES ATX VER2.0","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"cases atx ver2.0","csa25bkte1038s","case teros te-1038s, factor de forma atx, 250 w, usb 3.0 / 2.0, audio, negro.[@@@]el ",1,23.12, ,"","D","teros"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CASES MICRO ATX","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"cases micro atx","csm25bkte1030s","case teros te-1030s, micro tower, 250 w, usb 3.0/usb 2.0, audio hd, negro[@@@]present",>20,18.09, ,"","D","teros"
"cases micro atx","csm25bkte1033s","case teros te-1033s, mini tower atx, 250 w, usb 3.0 / 2.0, audio hd, negro[@@@]presen",>20,19.10, ,"","D","teros"
"cases micro atx","csm25bkte1034s","case teros te-1034s, mini tower atx, 250 w, usb 3.0 / 2.0, audio hd, negro[@@@]presen",>20,19.10, ,"","D","teros"
"cases micro atx","csm25bkte1035s","case teros te-1035s, mini tower atx, 250 w, usb 3.0 / 2.0, audio hd, negro[@@@]presen", ,19.10, ,"","D","teros"
"cases micro atx","css25bkte1039s","case teros te-1039s, slim, 250 w, usb 3.0 / usb 2.0, audio hd, dvd, negro[@@@]present",>20,27.14, ,"","D","teros"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CASES SIN FUENTE P/GAMERS","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"cases sin fuente p/gamers","csa00bkte1312g","case gamer teros te-1312g, mid tower, usb 3.0 / usb 2.0, audio, ventilador argb, negr",16,45.23, ,"","D","teros"
"cases sin fuente p/gamers","csa00whte1311g","case gamer teros te-1311g, mid tower, usb 3.0 / usb 2.0, audio, ventilador argb, blan",>20,46.23, ,"","D","teros"
"cases sin fuente p/gamers","csmsgung300mhe","case gamer msi mpg gungnir 300 monster hunter edition[@@@]motherboard - factor de for",2,185.82, ,"","P","msi"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CASES, ACCESORIOS","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"cases, accesorios","accaxadds539usb","panel usb de case, advance ds-539, usb 2.0 / 3.0.[@@@]compatible con el case csaxdkad",7,4.35, ,"","D","advance computer corp"
"cases, accesorios","accte7051n","cable divisor argb teros te-7051n[@@@]el cable divisor argb teros te-7051n es una sol",>20,0.60, ,"","D","teros"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CASES, FUENTE PARA","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"cases, fuente para","psua25bkte1315s","fuente de alimentación teros te-1315s, formato atx, 250w, 115v / 230v[@@@]la fuente d",>20,9.95, ,"","D","teros"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CASES, FUENTE PARA GAMING","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"cases, fuente para gaming","psmsa750bnpcie5","fuente de alimentación msi mag a750bn pcie5, 750w, 80 plus bronze, formato atx.[@@@]",2,60.55, ,"","P","msi"
"cases, fuente para gaming","te7175wgold","fuente de alimentación teros te-7175, atx, 750w, 80 plus gold, 100v-240vac, certifica",>20,50.25, ,"","D","teros"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","COMERCIAL TANQUE TINTA MU","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"comercial tanque tinta mu","prepl15150-n","multifuncional de tinta epson ecotank l15150, imprime/escanea/copia/fax/wi-fi/usb/eth",1,884.40, ,"","W","epson"
"comercial tanque tinta mu","prepwfc5810","multifuncional de tinta epson workforce pro wf-c5810, imprime/escanea/copia/fax/lan/w",9,399.99, ,"","W","epson"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","COMERCIAL TICKETERA","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"comercial ticketera","preptmt20iii","impresora termica epson tm-t20iii, velocidad de impresión 250 mm/seg, interfaz usb.[@",8,149.64, ,"","P","epson"
"comercial ticketera","preptmt20iiil","impresora termica de recibos epson tm-t20iiil, interfaz: usb+serial (rs-232)[@@@]impr",5,132.66, ,"","W","epson"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CONSUMO TANQUE TINTA","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"consumo tanque tinta","prepl1250-n","impresora de tinta epson ecotank l1250, imprime /inalambrica / usb de alta velocidad[",>20,126.63, ,"","Y","epson"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CONSUMO TANQUE TINTA MULT","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"consumo tanque tinta mult","prepl14150","multifuncional de tinta epson ecotank l14150, imprime/escanea/copia/fax/wi-fi/usb/eth",3,527.63, ,"","W","epson"
"consumo tanque tinta mult","prepl3210-n","multifuncional de tinta epson ecotank l3210, imprime / escanea / copia / usb[@@@]velo",4,152.26, ,"","W","epson"
"consumo tanque tinta mult","prepl4260-n","multifuncional de tinta epson ecotank l4260 imprime / escanea / copia / usb / inalamb",>20,205.52, ,"","W","epson"
"consumo tanque tinta mult","prepl5590-n","impresora multifuncional epson ecotank l5590, imprime/escanea/copia/fax/usb/lan/wi-fi",1,229.04, ,"","Y","epson"
"consumo tanque tinta mult","prepl8160","multifuncional de tinta epson ecotank l8160, imprime/escanea/copia, lan/wi-fi/usb 2.0",1,430.64, ,"","W","epson"
"consumo tanque tinta mult","prepl8180","multifuncional de tinta epson ecotank l8180, imprime/escanea/copia, lan/wi-fi/usb 2.0",1,773.85, ,"","W","epson"
"consumo tanque tinta mult","prhp1f3y2a","impresora all-in-one de tinta hp smart tank 580, imprime, escanea, copia/wi-fi/bt/usb",5,150.75, ,"","W","hp consumo"
"consumo tanque tinta mult","prhpst585","multifuncional de tinta hp smart tank 585, impresión/escaneo/copia/wi-fi/bluetooth le",>20,150.75, ,"","Y","hp consumo"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","COOLER LIQUIDO CPU 120","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"cooler liquido cpu 120","accpute8163n","cooler para procesador teros te-8163n, intel y amd, tdp 155w máx, 12 cm, líquida[@@@]",15,31.05, ,"","D","teros"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","COOLER LIQUIDO CPU 240","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"cooler liquido cpu 240","accpute8164n","cooler para procesador teros te-8164n, intel y amd, tdp 265w máx, 24 cm, líquida[@@@]",1,45.12, ,"","D","teros"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CPU AMD ATHLON SAM4","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"cpu amd athlon sam4","cpam4nat3000g","procesador amd athlon 3000g, 3.50ghz, 4mb l3 cache, 2-cores, am4, 14nm, tdp: 35w.[@@@",3,40.45, ,"","P","amd-advanced micro device"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CPU AMD RYZEN 5 SAM4 3XXX","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"cpu amd ryzen 5 sam4 3xxx","cpam4r53600","procesador amd ryzen 5 3600, 3.6 / 4.2ghz, 32mb l3 cache, 6-cores, am4, 7nm, tdp: 65w",19,193.86, ,"","P","amd-advanced micro device"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CPU AMD RYZEN 5 SAM4 5XXX","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"cpu amd ryzen 5 sam4 5xxx","cpam4r55500","procesador amd ryzen 5 5500, 3.60 / 4.20 ghz, 16mb l3 cache, 6-cores, am4, 7nm, 65w.[",3,71.36, ,"","P","amd-advanced micro device"
