
,"LISTA DE PRECIOS DELTRON"

,"Generada el :"2025-03-21 12:25:16
,"Almacen(es) :,'Otros Alm.Lima'<FONT color='Red'><a href='#MSG_SURQ_LISTA' style='text-decoration:none' class='especial'>(*)</a></FONT>"
,"Almacen(es) :"
,"TIPO DE CAMBIO :3.650"
,"__________________________________"


"_______________","_______________","__________________________________","__________"
" ","CODIGO","ACC, MUEBLES DE COMPUTO","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"acc, muebles de computo","accte8083n","hub usb de 7 puertos, usb 2.0 de 6 puertos y usb 3.0 de 1 puerto[@@@]entradas: usb 2.",>20,1004.00, ,"","D","teros"
"acc, muebles de computo","accte8127n","silla giratoria de oficina teros te-8127n, material nylon, base de plástica[@@@]traba",>20,47.24, ,"","D","teros"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","ACCESORIOS","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"accesorios","accadvkbsp5737","estuche advance para tablet sp5737 con teclado micro usb, coral[@@@]optimiza tu produ",>20,9999999.99, ,"","D","advance computer corp"
"accesorios","accchabgm501","silla colgante beige mod. 501",4,291.45, ,"","D","zz otras marcas"
"accesorios","accdgrrasbt1","gorra bluetooth tipo baseball",>20,8.04, ,"","Y","deltron"
"accesorios","accdgrrasbt2","gorra bluetooth tipo safari",19,9.05, ,"","Y","deltron"
"accesorios","acchp13l67aa","hp desktop mini dual vesa sleeve v3[@@@]",4,15.98, ,"","W","hp comercial"
"accesorios","accte8082t","exhibidor smart watch te8082[@@@]el exhibidor smart watch te8082 es un elegante sopor",>20,1004.00, ,"","D","teros"
"accesorios","zznccteids18585"," te-ids18585 para dell-consumo",>20,99.50, ,"","D","zz otras marcas"
"accesorios","zzzmesamelamina","mesa melamina 160*80*73",10,9999999.99, ,"","Z","zz otras marcas"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","ACCESORIOS USB","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"accesorios usb","acte70210w","cable de carga 3 en 1 teros te-70210w, usb a tipoc/lightning/micro usb, 17.5w máx, gr",>20,3.02, ,"","D","teros"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","AUDIO, AURICULAR C/MIC","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"audio, auricular c/mic","mmachte8078r","audífono de conducción de aire teros te-8078r, bluetooth, rojo /gris[@@@]los audífono",>20,11.36, ,"","D","teros"
"audio, auricular c/mic","mmhwte8033n","audífono inalámbrico anc teros te-8033n (headset), negro[@@@]los auriculares inalámbr",>20,18.59, ,"","D","teros"
"audio, auricular c/mic","mmhwte8033wp","audífono inalámbrico anc teros te-8033wp (headset), blanco[@@@]los auriculares inalám",>20,18.59, ,"","D","teros"
