CATEGORÍA,CÓDIGO,DESCRIPCIÓN,STOCK,PRECIO DÓLARES,GARANTÍA,MARCA,PROMOCIÓN,DETALLE PROMOCIÓN
"acc, muebles de computo",accte8127n,"silla giratoria de oficina teros te-8127n, material nylon, base de plástica[@@@]traba",20,47.24,D,teros,,
accesorios,accadvkbsp5737,"estuche advance para tablet sp5737 con teclado micro usb, coral[@@@]optimiza tu produ",20,9999999.99,D,advance computer corp,,
accesorios,accchabgm501,silla colgante beige mod. 501,4,291.45,D,zz otras marcas,,
accesorios,accdgrrasbt1,gorra bluetooth tipo baseball,20,8.04,Y,deltron,,
accesorios,accdgrrasbt2,gorra bluetooth tipo safari,19,9.05,Y,deltron,,
accesorios,acchp13l67aa,hp desktop mini dual vesa sleeve v3[@@@],4,15.98,W,hp comercial,,
accesorios,accte8082t,exhibidor smart watch te8082[@@@]el exhibidor smart watch te8082 es un elegante sopor,20,1004.0,D,teros,,
accesorios,zznccteids18585, te-ids18585 para dell-consumo,20,99.5,D,zz otras marcas,,
accesorios,zzzmesamelamina,mesa melamina 160*80*73,10,9999999.99,Z,zz otras marcas,,
accesorios usb,acte70210w,"cable de carga 3 en 1 teros te-70210w, usb a tipoc/lightning/micro usb, 17.5w máx, gr",20,3.02,D,teros,,
"audio, auricular c/mic",mmachte8078r,"audífono de conducción de aire teros te-8078r, bluetooth, rojo /gris[@@@]los audífono",20,11.36,D,teros,$10.50,R6483: Detalle de #PROMOCIONR6483
"audio, auricular c/mic",mmhwte8033n,"audífono inalámbrico anc teros te-8033n (headset), negro[@@@]los auriculares inalámbr",20,18.59,D,teros,$16.90,R6487: Detalle de #PROMOCIONR6487
"audio, auricular c/mic",mmhwte8033wp,"audífono inalámbrico anc teros te-8033wp (headset), blanco[@@@]los auriculares inalám",20,18.59,D,teros,$16.90,R6488: Detalle de #PROMOCIONR6488
"audio, auricular c/mic",mmhwte8035n,"audífono inalámbrico teros te-8035n (headset), negro[@@@]los auriculares inalámbricos",20,9.45,D,teros,,
"audio, auricular c/mic gm",mmhste8170n,"auriculares gaming teros te-8170n estéreo 7.1, micrófono, conector usb, negro, luces ",20,19.9,D,teros,,R6327: PROMO (5+1) POR LA COMPRA DE HEADSET TEROS TE-8170N
"audio, parlante inalamb",mmspte6042n,"parlante teros te-6042n, bluetooth, 20 w (2 x 10 w), 3000 mah, negro[@@@]el parlante ",20,18.08,D,teros,$15.90,R6437: Detalle de #PROMOCIONR6437
"audio, parlante inalamb",mmspte6045g,"parlante teros te-6045g, color verde militar camuflado, 60 w[@@@]disfruta de un sonid",20,42.21,D,teros,,
"audio, parlante inalamb",mmspte6045n,"parlante teros te-6045n, color negro, 60 w[@@@]potencia tu música con el parlante blu",20,42.21,D,teros,,
cajas para computadoras,accmboxsetprinc,caja master set princess,20,0.81,Z,landbyte,,
"camara, webcam",mmte9072,"webcam teros te-9072, 2k, micrófono incorporado, usb 2.0[@@@]trabaja con casi todas l",18,13.67,D,teros,,
cases micro atx,csm25bkte1033s,"case teros te-1033s, mini tower atx, 250 w, usb 3.0 / 2.0, audio hd, negro[@@@]presen",0,19.1,D,teros,,R7724: GRATIS(MOUSE STD USB TE1226 PK) POR LA COMPRA DE CASE MICRO ATX TE1033 250W BK
cases micro atx,csm25bkte1034s,"case teros te-1034s, mini tower atx, 250 w, usb 3.0 / 2.0, audio hd, negro[@@@]presen",20,19.1,D,teros,,R7723: GRATIS(MOUSE STD USB TE1227 GN) POR LA COMPRA DE CASE MICRO ATX TE1034 250W BK
cases micro atx,css25bkte1032s,"case teros te-1032s, slim, 250 w, usb 3.2 / usb 2.0, audio hd, dvd, negro[@@@]present",2,27.14,D,teros,,R8378: GRATIS (MOUSE) POR LA COMPRA DE CASE SLIM TE1032S BLACK
cases micro atx,css25bkte1039s,"case teros te-1039s, slim, 250 w, usb 3.0 / usb 2.0, audio hd, dvd, negro[@@@]present",20,27.14,D,teros,,R6740: GRATIS(MOUSE STD USB TE1221 PK) POR LA COMPRA DE CASE STD SLIM TE1039 250W BK
cases sin fuente p/gamers,csa00whte1311g,"case gamer teros te-1311g, mid tower, usb 3.0 / usb 2.0, audio, ventilador argb, blan",20,46.23,D,teros,,R7671: GRATIS(mouse+mouse pad) POR LA COMPRA DE CASE ATX TE1311 WHITE; R6777: GRATIS(HEADSET TE8033WP) POR LA COMPRA DE CASE ATX TE1311 WHITE; R6283: PROMOCION 4+1 POR LA COMPRA DE CASE ATX TE1311 WHITE
"cases, accesorios",accaxadds539usb,"panel usb de case, advance ds-539, usb 2.0 / 3.0.[@@@]compatible con el case csaxdkad",20,4.35,D,advance computer corp,,
"cases, fuente para",psua25bkte1315s,"fuente de alimentación teros te-1315s, formato atx, 250w, 115v / 230v[@@@]la fuente d",20,9.95,D,teros,,R7031: GRATIS(MOUSE STD USBTE1222 BK)POR LA COMPRA DE PSU STD ATX 250W TE1315 BK
comercial laser multi,prephp137fnw,"impresora hp láser mfp137fnw multifuncional monocromática, imprime/escanea/copia/wi-f",19,178.89,W,hp comercial,,
comercial laser multi,prhpm4303fdw,"impresora hp color laserjet pro mfp 4303fdw, imprime/copia/escanea/fax/wi-fi/ethernet",20,573.86,W,hp comercial,$500.00,R8283: Detalle de #PROMOCIONR8283
comercial matricial,preplq590ii,"impresora matricial epson lq-590ii, matriz de 24 pines, paralelo / usb 2.0, 100v - 24",0,419.59,W,epson,,
comercial tanque tinta mu,prepl15150-n,"multifuncional de tinta epson ecotank l15150, imprime/escanea/copia/fax/wi-fi/usb/eth",20,884.4,W,epson,,
comercial tanque tinta mu,prepwf-c5891,"multifuncional a color epson workforce pro wf-c5891, imprime/escanea/copia/fax/lan/wi",0,498.48,W,epson,,
comercial tanque tinta mu,prepwfc5810,"multifuncional de tinta epson workforce pro wf-c5810, imprime/escanea/copia/fax/lan/w",0,399.99,W,epson,,R6836: EPSON WF-C5810 + TINTA T11B NEGRA GRATIS
comercial tanque tinta mu,prhpwf5890,impresora multifuncion epson workforce pro wf-c5890 imprime/escanea/copia/fax/lan/wif,0,457.28,W,epson,,
comercial ticketera,preptm-p80ii,"impresora térmica de recibos epson mobilink tm-p80ii, interfaz: usb-c / bluetooth 5.0",0,305.52,W,epson,,
comercial ticketera,preptmm30iiieth,térmica de recibos tm-m30iii,0,251.25,W,epson,,
comercial ticketera,preptmt20iiieth,"impresora termica epson tm-t20iii velocidad de impresión 250 mm/seg interfaz usb, eth",0,194.47,W,epson,,
computadora aio core i5,pclenf0gh01agld,aio 24 i5-1235u/8/512/free,20,448.23,D,lenovo - idea,,
computadora aio core i7,pclen12sd0028ls,"all-in-one lenovo thinkcentre neo 50a 24 gen 5, core i7-13620h 2.4 / 4.9ghz 16gb ddr5",0,1014.05,W,lenovo - thinkpad,,R6724: GRATIS (MOCHILA+ HEADSET+ PARLANTE) POR LA COMPRA DE AIO 23.8 NEO 50A I7-13H/16/1/W
computadora aio core i7,pclenf0hn009xld,all-in-one lenovo ideacentre aio 24irh9 23.8 fhdips core i7-13620h hasta 4.9g 16gb d,0,713.45,W,lenovo - idea,,
computadora core i5,pchpa03g9laabm,"computadora hp pro sff 400 g9, core i5-14500 5ghz16gb ddr5-4800.[@@@]512gb ssd m.2 22",20,843.2,W,hp comercial,,
computadora core i5,pchpa17jmlaabm,"computadora hp pro mini 400 g9, core i5-14500t 1.70/4.80ghz, 16gb (1x16gb) ddr5-4800m",20,840.18,W,hp comercial,,
computadora core i5,pclen12e40015ls,"computadora lenovo thinkcentre m70q gen 4 core i5-13500t 1.6/4.6ghz, 16gb ddr4-3200 s",20,933.65,W,lenovo - thinkpad,$699.00,R8426: Detalle de #PROMOCIONR8426
computadora core i7,pchpa01jhlaabm,"computadora hp pro sff 400 g9, core i7-14700 5.4ghz 16gb ddr5-4800[@@@]1tb ssd m.2 22",0,1064.3,W,hp comercial,,
computadora core i7,pclen12je0005ls,"computadora lenovo thinkcentre neo 50s gen 4, core i7-13700 2.1/5.2ghz 16gb ddr4-3200",20,1034.15,W,lenovo - thinkpad,$849.00,R8427: Detalle de #PROMOCIONR8427
computadora core i7,pclen12u2s4d700,"computadora lenovo thinkcentre m70s gen 5, core i7-14700 2.1/5.4ghz, 16gb ddr5-5600[@",20,1074.35,W,lenovo - thinkpad,,
consumo tanque tinta mult,prepl14150,"multifuncional de tinta epson ecotank l14150, imprime/escanea/copia/fax/wi-fi/usb/eth",0,527.63,W,epson,,
consumo tanque tinta mult,prepl3210-n,"multifuncional de tinta epson ecotank l3210, imprime / escanea / copia / usb[@@@]velo",0,152.26,W,epson,,R7103: Compra 06 Munltifunc Epson L3210 y llevate 01 gratis! P. Prorrateado desde $ 129.86+ igv
consumo tanque tinta mult,prepl3250-n,"multifuncional de tinta epson l3250, usb de alta velocidad (compatible con usb 2.0)[@",20,173.76,W,epson,,R7731: Gratis(mouseTEROS) Compra 5Multifunc Epson L3250 y llevate1gratis! P.Prorrateado desde $144.09+ igv
consumo tanque tinta mult,prepl4260-n,multifuncional de tinta epson ecotank l4260 imprime / escanea / copia / usb / inalamb,20,205.52,W,epson,,R7732: GRATIS(MOUSE TEROS)Compra 8MultifuncEpson L4260 y llevate1 gratis! P. Prorrateado desde $180.44+ igv
consumo tanque tinta mult,prepl5590-n,"impresora multifuncional epson ecotank l5590, imprime/escanea/copia/fax/usb/lan/wi-fi",0,229.04,Y,epson,,R7110: Compra 10 Multifunc Epson L5590 y llevate 01 gratis! P. Prorrateado desde $ 206.73+ igv
consumo tanque tinta mult,prepl62701,"impresora multifuncional epson ecotank l6270, imprime/escanea/copia/lan/wi-fi[@@@]pan",0,317.08,W,epson,,
consumo tanque tinta mult,prepwfcm3170,"multifuncional de tinta epson ecotank et-m3170, imprime/escanea/copia/fax, usb/lan/wi",0,294.47,W,epson,,
consumo tanque tinta mult,prhp1f3y2a,"impresora all-in-one de tinta hp smart tank 580, imprime, escanea, copia/wi-fi/bt/usb",0,150.75,W,hp consumo,$127.00,R6883: Detalle de #PROMOCIONR6883
consumo tanque tinta mult,prhpsmart750,"multifuncional de tinta hp smart tank 750, impresión/escaneo/copia/wi-fi/bluetooth le",17,285.42,W,hp consumo,,R6897: SUPER PROMO HP Smart Tank 750 Compra 2+1 MOCHILA TEROS
consumo tanque tinta mult,prhpsmart790,"mltifuncional de tinta hp smart tank 790, imprime/escanea/copia/fax/wi-fi/usb/etherne",3,313.06,Y,hp consumo,,R6904: SUPER PROMO HP Smart Tank 790 Compra 2+1 MOCHILA TEROS
cooler liquido cpu 120,accpute8163n,"cooler para procesador teros te-8163n, intel y amd, tdp 155w máx, 12 cm, líquida[@@@]",20,31.05,D,teros,,R6771: GRATIS(MOUSE PAD+MOUSE STD USBTE1222) POR LA COMPRA DE UN COOLER PARA CPU TE-8163N LIQU
estabilizador de tension,psstie1042s,"estabilizador elise - fase fes-10, sólido, 1.0kva, 220v, 4 tomas a 220v, 1 toma a 110",0,31.16,W,elise,,
estabilizador de tension,psstie1042xs-n,"estabilizador elise - fase fxe-10, sólido, 1.0kva, 4 tomas a 220vac, 1 toma by-pass.[",20,31.16,W,elise,,
estabilizador de tension,psstr2cavr1008i,"regulador de voltaje cdp r2c-avr1008i, 1000va/500w, 170-270 vac.[@@@]4 tomas con prot",0,11.06,W,cdp chicago digital power,,
estabilizador de tension,psstravr2408ip,"regulador de voltaje cdp r-avr 2408i, 2400va, 1800w, 220v, 8 tomacorrientes.[@@@]sali",0,38.19,W,cdp chicago digital power,,
estabilizador de tension,psstrcavr1808ip,"regulador de voltaje cdp rc-avr pro 1808i, 1800va, 1000w, 220v, 8 tomacorrientes.[@@@",20,19.2,W,cdp chicago digital power,,
fan cooler cpu,accpute8161n,"cooler para procesador teros te-8161n, intel, tdp90w máx, aire[@@@]cooler de procesad",20,5.01,D,teros,,R6782: GRATIS(MOUSE PAD STD TE3011 BK)POR LA COMPRA DE COOLER PARA CPU TE-8161N AIRE
garantia extendida,ge5ws0m90373,warranty 3y premier support,20,100.5,Z,lenovo - thinkpad,,
garantia extendida,gehpu7902e,hp 4y 4h 9x5 onsite dt only hw,20,9999999.99,Z,hp comercial,,
garantia extendida,gehpu9lc8e,hp 4y receipt unit exch sm mon,20,9999999.99,Z,hp comercial,,
garantia extendida,zgele5ps0a23193,ge len 3y onsite-3y onsite+adp,1,38.19,W,lenovo - thinkpad,,
garantia extendida,zgele5ws0a23136,"4 year onsite, next business day.[@@@]",1,45.23,Z,lenovo - thinkpad,,
"imagenes, accesorios disp",accte9062w,"ecran teros te-9062w , 1.92 x 1.92 mts, 4:3 , blanco mate[@@@]mejora tus presentacion",20,30.15,D,teros,,
"imagenes, accesorios disp",accte9063w,"ecran con tripode teros te-9063w, 1.56 x 1.17 metros, 4:3 (80), blanco mate.[@@@]pre",20,24.12,D,teros,,
"imagenes, accesorios disp",zzacmaletinproy,"maletín para proyector ecotrend, negro.[@@@]",20,9.13,D,ecotrend,,
impresora laser/led,prehpmfp3303fdw,"impresora hp color laserjet pro mfp 3303fdw (imprime/escanea/copia/fax), usb 2.0/lan/",20,562.8,W,hp comercial,$475.00,R7543: Detalle de #PROMOCIONR7543
impresora laser/led,prhplpm501,"impresora hp laserjet pro m501dn, 45 ppm, 4800x600 dpi, lan/usb.[@@@]solo imprime en ",20,247.23,W,hp comercial,,
