
,"LISTA DE PRECIOS DELTRON"

,"Generada el :"2025-03-21 12:24:30
,"Almacen(es) :,'TRUJILLO'"
,"Almacen(es) :"
,"TIPO DE CAMBIO :3.650"
,"__________________________________"


"_______________","_______________","__________________________________","__________"
" ","CODIGO","ACCESORIOS USB","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"accesorios usb","acte70207w","cargador usb-a usb-c teros te-70207w, gan, pd 65w, blanco[@@@]potencia y eficiencia e",>20,11.06, ,"","D","teros"
"accesorios usb","acte70208w","cable usb teros te-70208w, tipo c a tipo c, 5a, 100w máx, blanco[@@@]descubre el cabl",>20,2.51, ,"","D","teros"
"accesorios usb","acte70209w","cable usb teros te-70209w, tipo c a tipo c, 3a, 60w máx, blanco[@@@]conecta y carga t",>20,1.81, ,"","D","teros"
"accesorios usb","acte70212w","cable usb teros te-70212w, tipo c a lightning, 3a, 20w máx, blanco y plateado[@@@]con",>20,6.31, ,"","D","teros"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","AUDIO, AURICULAR C/MIC","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"audio, auricular c/mic","accte8072w","audífonos teros te-8072w, bluetooth, tws, blanco[@@@]los audífonos bluetooth teros te",>20,8.94, ,"","D","teros"
"audio, auricular c/mic","accte8075w","audífonos teros, te-8075w, bluetooth, tws, blanco[@@@]los audífonos bluetooth teros t",>20,9.95, ,"","D","teros"
"audio, auricular c/mic","mmachte8078r","audífono de conducción de aire teros te-8078r, bluetooth, rojo /gris[@@@]los audífono",>20,11.36, ,"","D","teros"
"audio, auricular c/mic","mmbchte8077n","audífonos de conducción ósea teros te-8077n, bluetooth, negro[@@@]los audífonos de co",>20,11.96, ,"","D","teros"
"audio, auricular c/mic","mmhwte8033n","audífono inalámbrico anc teros te-8033n (headset), negro[@@@]los auriculares inalámbr",7,18.59, ,"","D","teros"
"audio, auricular c/mic","mmhwte8033wp","audífono inalámbrico anc teros te-8033wp (headset), blanco[@@@]los auriculares inalám",>20,18.59, ,"","D","teros"
"audio, auricular c/mic","mmhwte8035n","audífono inalámbrico teros te-8035n (headset), negro[@@@]los auriculares inalámbricos",>20,9.45, ,"","D","teros"
"audio, auricular c/mic","mmhwte8037n","audífono teros te-8037n (headset), negro[@@@]los auriculares alámbricos teros te-8037",>20,7.04, ,"","D","teros"
"audio, auricular c/mic","mmmclogstheh112","auriculares estereo (on-ear) con microfono logitech h390, interfaz usb-a, color negro",7,19.60, ,"","D","logitech"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","AUDIO, AURICULAR C/MIC GM","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"audio, auricular c/mic gm","mmhste8170n","auriculares gaming teros te-8170n estéreo 7.1, micrófono, conector usb, negro, luces ",>20,19.90, ,"","D","teros"
"audio, auricular c/mic gm","mmhste8171n","auriculares gaming teros te-8171n, estéreo, micrófono, luces rgb[@@@]los auriculares ",>20,10.55, ,"","D","teros"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","AUDIO, PARLANTE INALAMB","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"audio, parlante inalamb","mmspte6032n","parlante teros te-6032n, bluetooth, 5 w, 400 mah,negro[@@@]el parlante inalámbrico te",15,5.53, ,"","D","teros"
"audio, parlante inalamb","mmspte6033n","parlante/audífono teros te-6033n, bluetooth, 5 w,1200 mah, negro[@@@]el dispositivo t",>20,15.08, ,"","D","teros"
"audio, parlante inalamb","mmspte6042n","parlante teros te-6042n, bluetooth, 20 w (2 x 10 w), 3000 mah, negro[@@@]el parlante ",>20,18.08, ,"","D","teros"
"audio, parlante inalamb","mmspte6045g","parlante teros te-6045g, color verde militar camuflado, 60 w[@@@]disfruta de un sonid",8,42.21, ,"","D","teros"
"audio, parlante inalamb","mmspte6045n","parlante teros te-6045n, color negro, 60 w[@@@]potencia tu música con el parlante blu",9,42.21, ,"","D","teros"
"audio, parlante inalamb","mmspte6046n","parlante teros te-6046n, color negro, 40 w[@@@]disfruta de un sonido potente con el p",4,26.13, ,"","D","teros"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CAMARA, WEBCAM","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"camara, webcam","mmte9072","webcam teros te-9072, 2k, micrófono incorporado, usb 2.0[@@@]trabaja con casi todas l",7,13.67, ,"","D","teros"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CASES MICRO ATX","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"cases micro atx","csm25bkte1033s","case teros te-1033s, mini tower atx, 250 w, usb 3.0 / 2.0, audio hd, negro[@@@]presen", ,19.10, ,"","D","teros"
"cases micro atx","csm25bkte1034s","case teros te-1034s, mini tower atx, 250 w, usb 3.0 / 2.0, audio hd, negro[@@@]presen", ,19.10, ,"","D","teros"
"cases micro atx","css25bkte1032s","case teros te-1032s, slim, 250 w, usb 3.2 / usb 2.0, audio hd, dvd, negro[@@@]present", ,27.14, ,"","D","teros"
"cases micro atx","css25bkte1039s","case teros te-1039s, slim, 250 w, usb 3.0 / usb 2.0, audio hd, dvd, negro[@@@]present", ,27.14, ,"","D","teros"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CASES SIN FUENTE P/GAMERS","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"cases sin fuente p/gamers","csa00bkte1312g","case gamer teros te-1312g, mid tower, usb 3.0 / usb 2.0, audio, ventilador argb, negr",>20,45.23, ,"","D","teros"
"cases sin fuente p/gamers","csa00whte1311g","case gamer teros te-1311g, mid tower, usb 3.0 / usb 2.0, audio, ventilador argb, blan",6,46.23, ,"","D","teros"
"cases sin fuente p/gamers","csmspano100rpzw","case msi mag pano 100r pz white, mini-itx, micro-atx, atx, mid tower[@@@]puertos: 2 x",1,107.03, ,"","F","msi"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CASES, FUENTE PARA","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"cases, fuente para","psua25bkte1315s","fuente de alimentación teros te-1315s, formato atx, 250w, 115v / 230v[@@@]la fuente d",>20,9.95, ,"","D","teros"
"_______________","_______________","__________________________________","__________"
" ","CODIGO","CASES, FUENTE PARA GAMING","STOCK","PREC DISTRIB US $","PREC S/.","FLETE ","GARAN","MARCA"
"cases, fuente para gaming","psgbp550ss","fuente de alimentación gigabyte p550ss, 550w, 80 plus silver, formato atx.[@@@]", ,34.07, ,"","P","gigabyte"
"cases, fuente para gaming","psgbp650gusg","fuente de alimentación gigabyte p650g (us), 650w,80 plus gold certified, formato atx.", ,51.15, ,"","F","gigabyte"
"cases, fuente para gaming","psgbp650ss","fuente de alimentación gigabyte p650ss , 650w, 80plus siver, formato atx.[@@@]", ,45.48, ,"","P","gigabyte"
