CATEGORÍA,CÓDIGO,DESCRIPCIÓN,STOCK,PRECIO DÓLARES,GARANTÍA,MARCA,PROMOCIÓN,DETALLE PROMOCIÓN
accesorios,accneckfanw,ventilador  de cuello blanco,10,669.33,D,deltron,,
accesorios,monv5e94aaequs,hp v194 18.5in mon equs,1,669.33,Z,zz otras marcas,,
accesorios,zznccteids18585, te-ids18585 para dell-consumo,8,99.5,D,zz otras marcas,,
accesorios usb,accymairduster,pistola de aire comprimido inalámbrico recargablede 3 velocidades con batería de 7600,2,34.17,C,zz otras marcas,,
accesorios usb,acte70207w,"cargador usb-a usb-c teros te-70207w, gan, pd 65w, blanco[@@@]potencia y eficiencia e",20,11.06,D,teros,,R6497: COMBO A TAN SOLO $12.2+IGV POR LA COMPRA DE ADAPTADOR DE CORRIENTE+ CABLE USB TEROS A-C 600W 3A; R6495: COMBO A TAN SOLO $11.9+IGV POR LA COMPRA DE ADAPTADOR DE CORRIENTE+ CABLE USB TEROS C-C 100W 5A
accesorios usb,acte70208w,"cable usb teros te-70208w, tipo c a tipo c, 5a, 100w máx, blanco[@@@]descubre el cabl",20,2.51,D,teros,,
accesorios usb,acte70209w,"cable usb teros te-70209w, tipo c a tipo c, 3a, 60w máx, blanco[@@@]conecta y carga t",20,1.81,D,teros,,
accesorios usb,acte70210w,"cable de carga 3 en 1 teros te-70210w, usb a tipoc/lightning/micro usb, 17.5w máx, gr",20,3.02,D,teros,,
accesorios usb,acte70211w,"cable usb teros te-70211w, tipo a a tipo c, 3a, 60w máx, gris[@@@]conecta y carga de ",20,2.01,D,teros,,
accesorios usb,acte70212w,"cable usb teros te-70212w, tipo c a lightning, 3a, 20w máx, blanco y plateado[@@@]con",20,6.31,D,teros,,
"audio, auricular c/mic",accte8072n,"audífonos teros te-8072n, bluetooth, tws, negro[@@@]los audífonos bluetooth teros te-",20,8.94,D,teros,$7.90,R6471: Detalle de #PROMOCIONR6471
"audio, auricular c/mic",accte8072w,"audífonos teros te-8072w, bluetooth, tws, blanco[@@@]los audífonos bluetooth teros te",20,8.94,D,teros,$7.90,R6469: Detalle de #PROMOCIONR6469
"audio, auricular c/mic",accte8074gr,"audífonos teros te-8074gr, bluetooth, tws, rosa/dorado[@@@]los audífonos bluetooth te",20,9.95,D,teros,$8.50,R6456: Detalle de #PROMOCIONR6456
"audio, auricular c/mic",accte8074n,"audífonos teros te-8074n, bluetooth, tws, negro[@@@]los audífonos bluetooth teros te-",20,9.95,D,teros,$8.20,R6457: Detalle de #PROMOCIONR6457
"audio, auricular c/mic",accte8075n,"audífonos teros te-8075n, bluetooth, tws, negro[@@@]los audífonos bluetooth teros te-",20,9.95,D,teros,,R6458: OFERTA!! POR LA COMPRA DE (2UNI) AUDIFONOS TEROS TE-8075N TWS
"audio, auricular c/mic",accte8075w,"audífonos teros, te-8075w, bluetooth, tws, blanco[@@@]los audífonos bluetooth teros t",20,9.95,D,teros,,R6460: OFERTA (3 UNI) POR LA COMPRA DE AUDIFONOS TEROS TE-8075W TWS
"audio, auricular c/mic",mmachte8078r,"audífono de conducción de aire teros te-8078r, bluetooth, rojo /gris[@@@]los audífono",20,11.36,D,teros,$10.50,R6483: Detalle de #PROMOCIONR6483
"audio, auricular c/mic",mmbchte8077n,"audífonos de conducción ósea teros te-8077n, bluetooth, negro[@@@]los audífonos de co",10,11.96,D,teros,$9.50,R6485: Detalle de #PROMOCIONR6485
"audio, auricular c/mic",mmhwte8033n,"audífono inalámbrico anc teros te-8033n (headset), negro[@@@]los auriculares inalámbr",20,18.59,D,teros,$16.90,R6487: Detalle de #PROMOCIONR6487
"audio, auricular c/mic",mmhwte8033wp,"audífono inalámbrico anc teros te-8033wp (headset), blanco[@@@]los auriculares inalám",19,18.59,D,teros,$16.90,R6488: Detalle de #PROMOCIONR6488
"audio, auricular c/mic",mmhwte8035n,"audífono inalámbrico teros te-8035n (headset), negro[@@@]los auriculares inalámbricos",20,9.45,D,teros,,
"audio, auricular c/mic",mmmclogstheh112,"auriculares estereo (on-ear) con microfono logitech h390, interfaz usb-a, color negro",20,19.6,D,logitech,,
"audio, auricular c/mic",mmmclogstheh113,headset logitech rosa[@@@],0,17.99,D,logitech,,
"audio, auricular c/mic",mmtwshte80710n,"audífonos teros te-80710n, bluetooth, tws, negro[@@@]los audífonos bluetooth tws (tru",20,11.46,D,teros,$9.90,R6490: Detalle de #PROMOCIONR6490
"audio, auricular c/mic gm",mmhste8171n,"auriculares gaming teros te-8171n, estéreo, micrófono, luces rgb[@@@]los auriculares ",18,10.55,D,teros,,R6278: COMPRA (3) POR LA COMPRA HEADSET TEROS TE-8171N
"audio, parlante inalamb",mmspte6032n,"parlante teros te-6032n, bluetooth, 5 w, 400 mah,negro[@@@]el parlante inalámbrico te",4,5.53,D,teros,$4.50,R6482: Detalle de #PROMOCIONR6482
"audio, parlante inalamb",mmspte6033n,"parlante/audífono teros te-6033n, bluetooth, 5 w,1200 mah, negro[@@@]el dispositivo t",20,15.08,D,teros,$11.50,R6436: Detalle de #PROMOCIONR6436
"audio, parlante inalamb",mmspte6042n,"parlante teros te-6042n, bluetooth, 20 w (2 x 10 w), 3000 mah, negro[@@@]el parlante ",20,18.08,D,teros,$15.90,R6437: Detalle de #PROMOCIONR6437
"audio, parlante inalamb",mmspte6045g,"parlante teros te-6045g, color verde militar camuflado, 60 w[@@@]disfruta de un sonid",16,42.21,D,teros,,
"audio, parlante inalamb",mmspte6045n,"parlante teros te-6045n, color negro, 60 w[@@@]potencia tu música con el parlante blu",14,42.21,D,teros,,
"audio, parlante inalamb",mmspte6046n,"parlante teros te-6046n, color negro, 40 w[@@@]disfruta de un sonido potente con el p",10,26.13,D,teros,,
"camara, webcam",mmte9072,"webcam teros te-9072, 2k, micrófono incorporado, usb 2.0[@@@]trabaja con casi todas l",20,13.67,D,teros,,
